epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2031,1.79357,2.19489,1.21987,0.68837,0.73763,0.71557,0.39298,1.54732,1.45569,1.07454,0.000324074,0.000324074,0.000324074
2,42.4939,1.00548,0.70809,0.91484,0.72187,0.82265,0.78304,0.49938,1.31751,0.90445,0.98883,0.000657394,0.000657394,0.000657394
3,55.8144,0.91102,0.59139,0.88574,0.7917,0.79306,0.78778,0.49595,1.31644,0.91713,1.0009,0.000990662,0.000990662,0.000990662
4,70.5391,0.82899,0.51487,0.87333,0.80494,0.80459,0.78593,0.49152,1.22486,0.86141,0.97902,0.000999821,0.000999821,0.000999821
5,85.9937,0.83341,0.50824,0.86935,0.74326,0.77494,0.75175,0.48395,1.24999,0.9101,1.02834,0.000999681,0.000999681,0.000999681
6,100.532,0.76283,0.45835,0.85684,0.74392,0.72839,0.7004,0.49231,1.26311,0.83963,1.07744,0.000999502,0.000999502,0.000999502
7,113.623,0.76262,0.44036,0.85429,0.74757,0.74003,0.74351,0.51316,1.19962,0.85114,1.00285,0.000999282,0.000999282,0.000999282
8,128.764,0.69906,0.41765,0.84757,0.86003,0.78376,0.81134,0.54672,1.11082,0.79172,0.95676,0.000999023,0.000999023,0.000999023
9,144.428,0.67319,0.40075,0.83884,0.81427,0.7933,0.78996,0.53183,1.14372,0.81486,0.97666,0.000998724,0.000998724,0.000998724
10,159.094,0.70206,0.40454,0.83743,0.83884,0.82026,0.83298,0.53678,1.17836,0.84054,0.96905,0.000998386,0.000998386,0.000998386
11,172.219,0.66532,0.38764,0.8329,0.88548,0.80573,0.83931,0.56999,1.16413,0.76683,0.98232,0.000998007,0.000998007,0.000998007
12,187.912,0.62522,0.37113,0.82775,0.85134,0.79453,0.80922,0.53777,1.18634,0.77039,1.02427,0.000997589,0.000997589,0.000997589
13,203.659,0.62084,0.37175,0.82508,0.84951,0.80989,0.80633,0.52775,1.17437,0.81255,1.00731,0.000997131,0.000997131,0.000997131
14,216.916,0.61643,0.36788,0.82413,0.8538,0.80385,0.80777,0.54847,1.1136,0.76236,0.99317,0.000996634,0.000996634,0.000996634
15,230.712,0.57206,0.35039,0.81634,0.865,0.79416,0.83249,0.57412,1.11553,0.83824,1.00903,0.000996097,0.000996097,0.000996097
16,246.494,0.56441,0.34342,0.81949,0.82951,0.81672,0.81052,0.54956,1.1328,0.80044,0.99112,0.00099552,0.00099552,0.00099552
17,262.204,0.55764,0.34317,0.81917,0.85247,0.84514,0.85247,0.60439,1.03588,0.77858,0.96161,0.000994904,0.000994904,0.000994904
